epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11741.9,1.47779,0.8065,1.07101,0.59049,0.51243,0.52264,0.27713,1.58726,0.95554,1.15484,0.000140277,0.000140277,0.000140277
86,11837.9,1.48023,0.80175,1.07045,0.58917,0.51676,0.52707,0.27949,1.58671,0.95127,1.15526,0.000132031,0.000132031,0.000132031
87,11928.9,1.48232,0.80162,1.06946,0.58831,0.51205,0.52263,0.27757,1.58876,0.95458,1.15554,0.000123784,0.000123784,0.000123784
88,12144.9,1.47467,0.79895,1.06763,0.59548,0.50975,0.52366,0.27957,1.58863,0.95101,1.15652,0.000115537,0.000115537,0.000115537
89,12311.5,1.47087,0.79842,1.06189,0.62001,0.49129,0.52396,0.27836,1.58887,0.95026,1.1581,0.00010729,0.00010729,0.00010729
90,12402.9,1.46196,0.78812,1.06144,0.59611,0.51322,0.5256,0.27998,1.58601,0.94595,1.15544,9.90437e-05,9.90437e-05,9.90437e-05
91,12491.3,1.45104,0.78468,1.07464,0.59832,0.50836,0.51966,0.2752,1.59293,0.95624,1.15869,9.0797e-05,9.0797e-05,9.0797e-05
92,12577.8,1.4353,0.76778,1.06522,0.59521,0.50718,0.52183,0.27656,1.59266,0.95332,1.161,8.25503e-05,8.25503e-05,8.25503e-05
93,12740.3,1.43483,0.76907,1.06797,0.60197,0.50476,0.52228,0.27716,1.59065,0.95333,1.15762,7.43036e-05,7.43036e-05,7.43036e-05
94,12834.8,1.43932,0.76512,1.06472,0.59328,0.5131,0.52216,0.27769,1.59139,0.9516,1.15685,6.60569e-05,6.60569e-05,6.60569e-05
95,13045.7,1.42837,0.75722,1.05881,0.60035,0.51065,0.52613,0.2792,1.58932,0.94737,1.1567,5.78102e-05,5.78102e-05,5.78102e-05
96,13155.7,1.4299,0.75337,1.05768,0.60411,0.50998,0.52389,0.27841,1.59152,0.95152,1.15947,4.95635e-05,4.95635e-05,4.95635e-05
97,13242.1,1.42938,0.75666,1.06141,0.59979,0.51033,0.52568,0.27969,1.59094,0.95119,1.15818,4.13168e-05,4.13168e-05,4.13168e-05
98,13330.3,1.42381,0.75271,1.05927,0.60744,0.51161,0.52669,0.28058,1.58969,0.94919,1.15756,3.30701e-05,3.30701e-05,3.30701e-05
99,13663.8,1.41327,0.74307,1.0547,0.6025,0.51395,0.52786,0.28104,1.58795,0.94879,1.15662,2.48234e-05,2.48234e-05,2.48234e-05
100,13752.4,1.41563,0.74481,1.05462,0.60015,0.51293,0.5271,0.2807,1.5887,0.9495,1.15749,1.65767e-05,1.65767e-05,1.65767e-05
