epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,10837.2,1.37503,0.74978,1.06247,0.63091,0.47353,0.50441,0.27563,1.49923,0.94524,1.15849,0.00010729,0.00010729,0.00010729
90,10949.5,1.36622,0.74618,1.0583,0.59261,0.49233,0.50123,0.27403,1.49965,0.94472,1.16029,9.90437e-05,9.90437e-05,9.90437e-05
91,11456.2,1.36561,0.73727,1.07254,0.60749,0.47721,0.49332,0.26823,1.50971,0.95429,1.16469,9.0797e-05,9.0797e-05,9.0797e-05
92,11554.7,1.35218,0.72353,1.06286,0.58544,0.48694,0.49696,0.27102,1.51134,0.95131,1.16543,8.25503e-05,8.25503e-05,8.25503e-05
93,11656.3,1.33705,0.7152,1.0609,0.58694,0.48805,0.49811,0.27356,1.51241,0.95302,1.16793,7.43036e-05,7.43036e-05,7.43036e-05
94,11739.2,1.3382,0.71058,1.06129,0.56511,0.50428,0.49719,0.2719,1.50693,0.95619,1.16493,6.60569e-05,6.60569e-05,6.60569e-05
95,11818.1,1.33526,0.70936,1.0556,0.58282,0.49222,0.49963,0.27317,1.50783,0.95436,1.16226,5.78102e-05,5.78102e-05,5.78102e-05
96,11899,1.32383,0.70058,1.05211,0.6098,0.48951,0.50204,0.27441,1.50528,0.95009,1.16232,4.95635e-05,4.95635e-05,4.95635e-05
97,11973.9,1.32375,0.69828,1.05172,0.60025,0.49065,0.5024,0.27498,1.50633,0.94793,1.16409,4.13168e-05,4.13168e-05,4.13168e-05
98,12051,1.31637,0.69681,1.04899,0.61223,0.48613,0.50423,0.27673,1.50468,0.94989,1.16364,3.30701e-05,3.30701e-05,3.30701e-05
99,12304.2,1.32421,0.69755,1.05071,0.60469,0.49716,0.50586,0.27718,1.50396,0.94792,1.16315,2.48234e-05,2.48234e-05,2.48234e-05
100,12376.7,1.313,0.69228,1.05007,0.60565,0.49554,0.50551,0.27654,1.50441,0.94832,1.16399,1.65767e-05,1.65767e-05,1.65767e-05
